Post_ID,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Engagement_Score,Spike,Engagement_Z,Advanced_Spike,Cluster
Post_1,TikTok,#Challenge,Video,UK,4163464,339431,53135,19346,High,411912,False,0.5741712930620864,False,2
Post_2,Instagram,#Education,Shorts,India,4155940,215240,65860,27239,Medium,308339,False,-0.12522107030887472,False,1
Post_3,Twitter,#Challenge,Video,Brazil,3666211,327143,39423,36223,Medium,402789,False,0.5125668543470422,False,2
Post_4,YouTube,#Education,Shorts,Australia,917951,127125,11687,36806,Low,175618,False,-1.021439716664173,False,1
Post_5,TikTok,#Dance,Post,Brazil,64866,171361,69581,6376,Medium,247318,False,-0.5372746113404121,False,1
Post_6,Instagram,#Challenge,Shorts,Australia,1323566,136282,86979,47129,Low,270390,False,-0.3814774382577089,False,2
Post_7,YouTube,#Comedy,Tweet,Japan,627233,84121,97973,32648,Medium,214742,False,-0.7572489833212607,False,0
Post_8,YouTube,#Gaming,Shorts,UK,2066886,317502,45222,33638,High,396362,False,0.46916756380428326,False,1
Post_9,Twitter,#Education,Live Stream,India,2169523,496078,96041,30174,Medium,622293,True,1.9948008470804712,False,1
Post_10,TikTok,#Gaming,Shorts,India,3898384,8634,69378,42700,Low,120712,False,-1.392200794389507,False,1
Post_11,Instagram,#Comedy,Live Stream,Germany,4070332,379894,46012,25242,High,451148,False,0.8391183233617111,False,0
Post_12,Twitter,#Music,Reel,Australia,4585669,465871,69083,8999,Medium,543953,True,1.4657981364659183,False,1
Post_13,YouTube,#Viral,Shorts,Canada,4105651,195560,37627,49089,High,282276,False,-0.30121542372663185,False,1
Post_14,YouTube,#Fitness,Reel,Japan,1633015,312907,45774,30725,High,389406,False,0.42219612067133927,False,1
Post_15,Twitter,#Comedy,Post,Germany,2471790,370802,54110,17081,High,441993,False,0.777297799801892,False,0
Post_16,YouTube,#Gaming,Live Stream,Canada,3079923,124237,44062,26702,Medium,195001,False,-0.8905530745931766,False,1
Post_17,Twitter,#Dance,Reel,UK,294870,213142,20351,20767,Low,254260,False,-0.4903977053270571,False,1
Post_18,TikTok,#Tech,Shorts,UK,2051091,24472,54704,41737,Medium,120913,False,-1.3908435114582647,False,1
Post_19,TikTok,#Fashion,Post,USA,3461154,165335,50077,19505,Low,234917,False,-0.6210142413420852,False,1
Post_20,YouTube,#Education,Tweet,UK,3143932,298685,84720,37162,Low,420567,False,0.6326154909222977,False,1
Post_21,Twitter,#Gaming,Video,Brazil,14095,268310,90495,16968,Low,375773,False,0.3301372241458325,False,1
Post_22,TikTok,#Viral,Live Stream,USA,3924406,35376,72832,3949,Medium,112157,False,-1.4499697271097967,False,1
Post_23,YouTube,#Dance,Shorts,Brazil,599766,223690,22531,10538,Low,256759,False,-0.47352282948041724,False,1
Post_24,Twitter,#Education,Shorts,Japan,4357851,449803,63438,28280,High,541521,True,1.4493756882630258,False,1
Post_25,YouTube,#Dance,Tweet,Germany,731492,474649,98377,3654,High,576680,True,1.6867921588080483,False,1
Post_26,YouTube,#Dance,Live Stream,Brazil,4910814,197287,53218,14896,Low,265401,False,-0.4151664160883957,False,1
Post_27,Instagram,#Gaming,Video,India,4369260,212278,21264,18172,Low,251714,False,-0.5075899557894601,False,1
Post_28,YouTube,#Tech,Post,Canada,1874437,322601,35671,48768,Medium,407040,False,0.5412723754451079,False,1
Post_29,Instagram,#Gaming,Live Stream,Canada,1653907,91836,77370,2823,Low,172029,False,-1.0456749825359581,False,1
Post_30,YouTube,#Education,Shorts,Japan,4683280,311330,3357,5110,Medium,319797,False,-0.04784919057666195,False,1
Post_31,Instagram,#Comedy,Reel,Australia,1365655,156164,84930,18303,Low,259397,False,-0.4557093350892864,False,0
Post_32,Twitter,#Music,Video,USA,2342195,91944,89578,44440,Medium,225962,False,-0.6814842346220612,False,1
Post_33,YouTube,#Gaming,Live Stream,USA,4977438,8731,4500,46045,Low,59276,False,-1.8070566857517187,False,1
Post_34,YouTube,#Viral,Reel,Australia,3005703,16688,77970,15891,Low,110549,False,-1.4608279905597354,False,1
Post_35,YouTube,#Education,Tweet,UK,936390,368646,92202,2016,Low,462864,False,0.9182323871549215,False,1
Post_36,TikTok,#Education,Live Stream,Japan,1855796,158156,6423,20518,High,185097,False,-0.9574313340510082,False,1
Post_37,Instagram,#Music,Reel,Germany,48908,205884,37256,14618,Low,257758,False,-0.4667769307326008,False,1
Post_38,Instagram,#Dance,Video,India,1367820,10794,7617,36639,Medium,55050,False,-1.835593390564804,False,1
Post_39,TikTok,#Gaming,Shorts,USA,4499253,469481,89583,41549,High,600613,True,1.8484033647454763,False,1
Post_40,Twitter,#Comedy,Post,USA,4510477,274631,82143,13932,Low,370706,False,0.29592153950600686,False,0
Post_41,Twitter,#Education,Reel,India,4380015,355402,41860,42729,High,439991,False,0.7637789917006622,False,1
Post_42,YouTube,#Fashion,Live Stream,Australia,943395,402996,18661,11999,High,433656,False,0.7210009450866312,False,1
Post_43,Twitter,#Comedy,Post,Brazil,3961278,49656,93072,23952,Medium,166680,False,-1.0817949148703625,False,0
Post_44,YouTube,#Comedy,Shorts,Brazil,4080112,171609,17994,41339,Medium,230942,False,-0.6478560306539674,False,0
Post_45,Twitter,#Comedy,Shorts,Germany,3934142,380972,42858,26194,Low,450024,False,0.8315283431889927,False,0
Post_46,Instagram,#Gaming,Tweet,Brazil,272327,274271,56073,17526,High,347870,False,0.1417179921535186,False,1
Post_47,Instagram,#Tech,Reel,Japan,1600237,325368,62818,25686,Medium,413872,False,0.587406489804549,False,1
Post_48,Instagram,#Dance,Live Stream,India,2212857,74624,24137,35546,Medium,134307,False,-1.3003984986171704,False,1
Post_49,Twitter,#Gaming,Live Stream,USA,4711157,313821,86074,36395,High,436290,False,0.7387874288721652,False,1
Post_50,Instagram,#Fashion,Reel,Japan,2747788,422463,21545,40997,Low,485005,True,1.0677428417849548,False,1
Post_51,YouTube,#Dance,Post,Australia,2081426,225061,67840,28774,Medium,321675,False,-0.03516771124893498,False,1
Post_52,YouTube,#Music,Live Stream,Canada,2258494,159509,25505,8605,Medium,193619,False,-0.8998852388268925,False,1
Post_53,YouTube,#Comedy,Tweet,Japan,1357850,472399,90644,33331,Low,596374,True,1.819778875464201,False,0
Post_54,Twitter,#Fitness,Reel,Canada,392337,332566,43169,45161,Medium,420896,False,0.6348371132326397,False,1
Post_55,Twitter,#Dance,Reel,USA,4006009,491965,60534,31438,High,583937,True,1.7357961500121561,False,1
Post_56,YouTube,#Fitness,Tweet,Australia,3934991,389693,81891,32967,Medium,504551,True,1.1997301660340238,False,1
Post_57,Instagram,#Challenge,Live Stream,Australia,2824818,34126,53516,29452,Low,117094,False,-1.416631887151869,False,2
Post_58,Twitter,#Dance,Video,Australia,197986,184395,9408,7599,Medium,201402,False,-0.8473293529867972,False,1
Post_59,YouTube,#Challenge,Post,Germany,2291491,474568,83894,6150,High,564612,True,1.605301161722314,False,2
Post_60,Twitter,#Music,Live Stream,UK,3525573,40967,4121,26381,Low,71469,False,-1.7247216072410825,False,1
Post_61,TikTok,#Music,Reel,USA,866896,122451,79602,25491,Low,227544,False,-0.670801540108502,False,1
Post_62,YouTube,#Tech,Video,Australia,4104535,331535,60374,13314,Medium,405223,False,0.529002807852733,False,1
Post_63,TikTok,#Dance,Tweet,India,2601441,93254,55921,48758,Low,197933,False,-0.8707543006906763,False,1
Post_64,Instagram,#Gaming,Shorts,Canada,1142030,212596,72334,18,High,284948,False,-0.28317233918792767,False,1
Post_65,YouTube,#Fashion,Shorts,Canada,2969591,358102,26688,8128,Low,392918,False,0.4459114323853846,False,1
Post_66,TikTok,#Education,Post,Japan,855465,14117,73654,46422,High,134193,False,-1.301168300876681,False,1
Post_67,YouTube,#Viral,Video,Brazil,4453459,376054,36502,19620,High,432176,False,0.711007021015792,False,1
Post_68,Twitter,#Dance,Reel,Japan,1059696,75851,99754,47614,High,223219,False,-0.7000067574101096,False,1
